Time,F-5
620.19701,-1.765444084
621.62487,-1.924794034
623.04829,-1.518027684
624.45284,-1.746397564
625.83309,-2.106310944
627.25645,-1.943651144
628.65757,-2.156826824
630.09391,-1.834426634
631.51291,-1.795150264
632.94016,-1.804218344
634.34075,-1.792208614
635.76524,-2.102387104
637.19797,-1.758823534
638.5997,-1.841048054
640.02283,-1.647736964
641.4503,-1.971236734
642.87449,-2.066861284
644.28618,-1.772795284
645.71552,-2.113196604
647.12113,-1.997402314
648.5455,-2.260209764
649.96273,-1.624147784
651.38648,-1.754402864
652.81908,-1.950324494
654.24582,-1.941491424
655.64156,-2.155900844
657.07042,-1.996123864
658.48916,-1.879111134
659.92551,-2.140259714
661.32988,-1.865700374
662.74863,-1.879328824
664.1746,-1.904804624
665.58234,-1.806599404
667.01558,-2.317675504
668.43533,-1.733215034
669.86143,-1.862117214
671.26231,-1.696012074
672.68927,-1.976444244
674.11688,-2.111840754
675.52299,-1.956586894
676.94873,-2.029462734
678.37109,-1.760180654
679.79032,-2.069364804
681.21532,-1.908391354
682.64193,-2.110980424
684.04843,-1.959680694
685.47608,-1.827504994
686.90089,-1.967341904
688.313,-2.082854574
689.73748,-2.142182694
691.1671,-2.150393824
692.56821,-2.074842994
693.99832,-1.840973884
695.40781,-2.228592544
696.8413,-1.987834874
698.24968,-2.078971844
699.67027,-2.012235174
701.09562,-2.003868164
702.50812,-2.146913994
703.9341,-2.155206774
705.34472,-2.063436314
706.76583,-1.978346884
708.19294,-2.168779274
709.61844,-2.267477894
711.03718,-2.290565344
712.49153,-2.140381274
713.94176,-2.259117264
715.34213,-2.111840574
716.77173,-1.989796174
718.18034,-2.135286154
719.60597,-2.067007164
721.03795,-1.906857714
722.44895,-2.177015964
723.87879,-2.052971104
725.29403,-1.995313454
726.70702,-2.048138834
728.13475,-2.160310514
729.53824,-2.088263194
730.97035,-2.109609934
732.38071,-2.185758444
733.79707,-1.979757094
735.22846,-2.054460824
736.6478,-2.367359094
738.08291,-2.054614454
739.53089,-2.137408764
740.95955,-2.117222884
742.38961,-1.850500324
743.80561,-2.161277504
745.21284,-2.216582664
746.64558,-2.098331404
748.06882,-2.256008934
749.51768,-2.632369204
750.96479,-2.369334174
752.41678,-2.231695554
753.84514,-2.292930314
755.25677,-2.177506334
756.68324,-2.055694974
758.10972,-2.160958554
759.52173,-2.312814674
760.95195,-2.061349974
762.35931,-2.118776124
763.78343,-2.358154074
765.1944,-2.070089504
766.61739,-2.136545814
768.04363,-2.294285164
769.45138,-2.198670744
770.88811,-2.426100394
772.30609,-2.251747594
773.72858,-2.244654414
775.11343,-1.998129354
776.49468,-2.209501764
777.90792,-2.556835504
